-,-,-
504, 262, 1019
504, 262, 1019
493, 150, 969
474, 149, 1025
388, 166, 1306
484, 212, 1516
545, 269, 1558
556, 278, 1506
556, 278, 1506
416, 358, 1187
205, 365, 674
69, 298, 241
32, 193, -74
32, 193, -74
-11, 44, -352
-96, -93, -392
-198, -232, -537
-159, -324, -743
71, -323, -871
183, -204, -949
16, -89, -1082
16, -89, -1082
16, 52, -1080
265, 102, -1254
454, 53, -1365
383, 41, -1487
374, 1, -1757
363, 41, -1966
363, 41, -1966
-115, 184, -1997
-692, 354, -1997
-808, 546, -1911
-435, 610, -1839
-543, 380, -1672
-583, 316, -1267
-762, 379, -981
-654, 409, -450
-349, 457, 145
1, 269, 127
237, 66, -31
237, 66, -31
437, 52, -115
475, 116, 239
850, 91, 716
-,-,-
56, 100, 1174
56, 100, 1174
101, 77, 1282
291, 173, 1322
146, 75, 1325
188, 115, 1271
207, 149, 1292
207, 149, 1292
218, 174, 1081
-35, 172, 679
-75, 77, 228
-39, 127, 8
-39, 127, 8
93, 157, -122
296, 224, -424
307, 346, -742
-263, 315, -1291
-283, 224, -1730
99, 210, -1719
506, 163, -1528
506, 163, -1528
466, 179, -1614
125, 196, -1855
-84, 279, -1897
-186, 391, -1860
-559, 468, -1919
-965, 546, -1918
-871, 776, -1715
-208, 843, -1570
-96, 591, -1105
-254, 477, -431
-272, 395, -164
-82, 306, -115
180, 163, -187
180, 163, -187
286, -10, -297
658, -146, -43
1167, -193, 510
1419, -225, 816
1528, -261, 761
1476, -310, 859
1227, -264, 1217
982, -127, 1422
776, -45, 1333
776, -45, 1333
-,-,-
56, 100, 1174
56, 100, 1174
101, 77, 1282
291, 173, 1322
146, 75, 1325
188, 115, 1271
207, 149, 1292
207, 149, 1292
218, 174, 1081
-35, 172, 679
-75, 77, 228
-39, 127, 8
-39, 127, 8
93, 157, -122
296, 224, -424
307, 346, -742
-263, 315, -1291
-283, 224, -1730
99, 210, -1719
506, 163, -1528
506, 163, -1528
466, 179, -1614
125, 196, -1855
-84, 279, -1897
-186, 391, -1860
-559, 468, -1919
-965, 546, -1918
-871, 776, -1715
-208, 843, -1570
-96, 591, -1105
-254, 477, -431
